Fecha;AE38_Cierre;AE38D_Cierre;AL29_Cierre;AL29D_Cierre;AL30_Cierre;AL30D_Cierre;AL35_Cierre;AL35D_Cierre;AL41_Cierre;AL41D_Cierre;GD29_Cierre;GD29D_Cierre;GD30_Cierre;GD30D_Cierre;GD35_Cierre;GD35D_Cierre;GD38_Cierre;GD38D_Cierre;GD41_Cierre;GD41D_Cierre;GD46_Cierre;GD46D_Cierre
19/10/2020 11:01;0;0;6990;44,01;6789;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38
19/10/2020 11:06;0;0;6875;43,5;6810;44,01;0;0;5555;35,8;0;44;6900;0;0;0;0;0;0;0;0;38
19/10/2020 11:11;0;0;6815;43,51;6811;43,81;5750;0;5555;35,8;0;44;6950;0;0;0;0;0;0;0;0;38
19/10/2020 11:16;6189,5;39,5;6820;43,52;6806;43,81;5750;36,5;5555;35,8;7100;44;6900;0;0;0;0;0;0;0;0;38
19/10/2020 11:21;6155;39,5;6821;43,53;6807;43,79;5849;36,5;5600;35,8;6900;44;6900;0;6001;0;0;0;0;0;0;38
19/10/2020 11:26;6155;39,5;6848,5;43,6;6801;43,53;5750;36,5;5579,5;35,8;6900;44;6924,5;0;6001;0;0;0;0;0;0;38
19/10/2020 11:31;6155;39,1;6829;43,56;6795;43,7;5840;36,16;5470;35,8;7000;44;6924,5;44;6001;38,75;0;0;6050;0;0;38
19/10/2020 11:36;6150;39,15;6829;43,6;6800;43,39;5840;36,5;5569;35,8;7100;44;6925;44;6001;39;0;0;6050;0;0;38
19/10/2020 11:41;6100,5;39,17;6829;43,53;6804;43,27;5840;37;5402;35,8;7100;44;6925;43,52;6001;39;0;0;6050;0;0;38
19/10/2020 11:46;6154;39,17;6840;43,53;6800;43,26;5800;36,5;5402;35,1;7100;44;6860;43,5;6075;39;0;0;6050;0;0;38
19/10/2020 11:51;6154;39,3;6832;43,2;6798;43,26;5810;36,51;5556;35,1;7100;44;6850;43,1;6100;39;0;0;5995;0;0;38
19/10/2020 11:56;6154;39,12;6848,5;43,35;6794;43,36;5800;36,51;5555;35,1;7101;44;6885;43,45;6100;39;0;0;5995;0;0;38
19/10/2020 12:01;6150;39,16;6831;43,3;6785;43,31;5790;36,5;5550;35,1;7120;44;6880;43,4;6090;38;0;0;5995;0;5998;37,5
19/10/2020 12:06;6126;39,23;6831;43,35;6780,5;43,3;5760;36,5;5550;35,1;7101;44;6850;43,45;6090;38;0;0;5995;0;5998;37,5
19/10/2020 12:11;6130;39,1;6831;43,36;6783;43,28;5759,5;36,98;5550;35,1;7101;44;6850;44,32;6070;38,5;7000;0;5995;0;5998;37,5
19/10/2020 12:16;6126;39,28;6838;43,36;6744;43,15;5759,5;36,75;5550;35,15;7135;44;6830;44,32;6060;38,5;7000;0;5995;0;5998;37,5
19/10/2020 12:21;6105;39,11;6790;43,4;6690;43,11;5720;36,88;5500;35,5;7101;44;6850;43,7;6060;38,5;7000;0;5995;38;5998;37,5
19/10/2020 12:26;6095;39,1;6770;43,4;6700;43,1;5750;36,75;5550;35,5;7175;44;6800;43,36;6000;38;7000;0;5995;38;5998;37,5
19/10/2020 12:31;6095;39,1;6700;43,36;6660;43,11;5720,5;36,8;5500;35,25;7100;44;6725;43,17;5980;38,5;7000;0;5995;38;5998;37,5
19/10/2020 12:36;6095;39,12;6720;43,36;6628,5;43,1;5720;36,8;5450;35,4;7100;44;6700;43,17;5980;38,5;7000;0;5995;38;5998;37,5
19/10/2020 12:41;6050;39,27;6700;43,36;6580;43,13;5716;36,8;5460;35,4;7125;44;6700;43,17;5940;38,5;7000;0;5995;38;5998;37,5
19/10/2020 12:46;6050;39,27;6626;43,35;6585;43;5700;36,6;5438;35,25;7125;44;6650;43,03;5875;38,5;6800;44,6;5995;37,5;5998;37,5
19/10/2020 12:51;6001;39,12;6631;43,2;6609,5;42,81;5700;36,25;5400;35,15;7125;44;6750;44,01;5850;38,5;6800;44,6;5900;37,5;5850;37,5
19/10/2020 12:56;6000;39,01;6762;43,01;6622;43,06;5700;36,7;5399;35,15;7110;44;6745;43,5;5830;37,99;6800;44,6;5870;37,5;5850;37,5
19/10/2020 13:01;5970;39,02;6610;43,07;6608;43,03;5675;36,69;5380;35,1;7110;44;6750;43,5;5850;37,99;6800;44,6;5870;37,5;5814;37,5
19/10/2020 13:06;5970;39,01;6700;43,19;6620;42,94;5670;36,57;5375;35,2;7110;44;6790;43,5;5875;37,99;6780;44,6;5850;37,5;5813;37,5
19/10/2020 13:11;5960;38,99;6651;43,15;6634,5;42,9;5670;36,57;5370;35,1;7110;44;6800;43,5;5900;37,75;6780;44,6;5850;37,5;5813;37,5
19/10/2020 13:16;5955;38,5;6660;43,2;6637;43,06;5675;36,2;5370;35,1;7046;44;6790;43,65;5900;37,75;6780;44,6;5850;37,5;5812;37,5
19/10/2020 13:21;5954;38,5;6730;43,2;6675;43,29;5675;36,79;5380;35,1;7050;44;6810;43,65;5900;38,01;6780;44,6;5801;37,5;5812;37,5
19/10/2020 13:26;5954;38,8;6730;43,2;6639;43,19;5675;36,69;5380;35,1;7050;44;6800;43,65;5885;38,01;6780;44,6;5801;37,5;5812;37,5
19/10/2020 13:31;5940;38,8;6690;43,2;6639;43,12;5710;36,7;5360;35,1;7045;44;6790;43,9;5900;38,45;6780;44,1;5801;37,5;5812;37,5
19/10/2020 13:36;5940;38,8;6690;43,35;6646,5;43,05;5700;36,7;5360;35,1;7045;44;6790;43,7;5900;38,45;6780;44,1;5801;37,5;5812;37,5
19/10/2020 13:41;5950;38,81;6691;43,25;6638;43,15;5685;36,79;5360;35,1;7045;45,2;6800;43,99;5925;38,45;6780;44,1;5801;37,5;5820;37,5
19/10/2020 13:46;5950;38,8;6700;43,3;6642;43,1;5690;36,78;5358;35,1;7045;45,2;6800;43,7;5925;38,45;6780;44,1;5825;37,5;5820;37,5
19/10/2020 13:51;5980;38,53;6700;43,25;6632;43,08;5690;36,78;5350;35,1;7045;45,2;6800;43,95;5925;38,45;6780;44,1;5835;37,5;5820;37,5
19/10/2020 13:56;5978,5;38,9;6705;43,35;6635;43,12;5685;36,69;5350;35;7031;45,2;6790;43,95;5910;38,45;6780;44,1;5835;38,16;5820;37,5
19/10/2020 14:01;5970;38,9;6710;43,43;6643,5;43,1;5690;36,7;5350;35;7031;45,2;6800;44;5920;38,45;6780;44,1;5850;38,16;5820;37,5
19/10/2020 14:06;5970;38,9;6710;43,26;6654,5;43,23;5700;36,6;5345;34,7;7095;45,2;6795;44;5925;38,45;6780;44;5850;38,16;5812;37,5
19/10/2020 14:11;5979;38,9;6728;43,44;6680;43,22;5700;36,69;5345;34,5;7095;45,2;6800;43,9;5926;38,1;6780;44;5850;38,16;5812;38
19/10/2020 14:17;5985;38,8;6729;43,44;6670;43,2;5695;36,65;5345;34,5;7095;45,2;6820;43,9;5950;38,1;6780;44;5840;38,16;5812;38
19/10/2020 14:21;5985;38,8;6729;43,44;6670;43,27;5690;36,65;5345;34,7;7095;45,2;6800;43,95;5950;38,1;6780;44;5825;38,16;5812;38
19/10/2020 14:26;5970;38,8;6729;43,44;6662;43,2;5680;36,6;5345;34,7;7095;45,2;6815;44,2;5925;38,35;6780;44;5825;38,16;5812;38
19/10/2020 14:31;5983,5;38,8;6729;43,35;6665,5;43,25;5680;36,5;5345;34,7;7095;45,2;6775;44;5935;38,35;6780;43,75;5830;38,16;5812;38
19/10/2020 14:36;5983;38,85;6728;43,3;6646,5;43,26;5689,5;36,7;5350;34,7;7095;45,2;6785;44;5930;38,45;6780;43,75;5830;38,16;5812;38
